,start_time,blendshapes
20,4400.0,"[Category(index=5, score=0.22415052354335785, display_name='', category_name='browOuterUpRight'), Category(index=15, score=0.22941343486309052, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.3513695299625397, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3040025234222412, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.3408313989639282, display_name='', category_name='mouthPressLeft')]"
21,4300.0,"[Category(index=19, score=0.4100954532623291, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.28940579295158386, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.2687549293041229, display_name='', category_name='mouthPressLeft')]"
22,4200.0,"[Category(index=19, score=0.42138439416885376, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.32423871755599976, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.4120006561279297, display_name='', category_name='mouthPressLeft')]"
23,4100.0,"[Category(index=4, score=0.2174069732427597, display_name='', category_name='browOuterUpLeft'), Category(index=14, score=0.25783848762512207, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.2682117223739624, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.21110334992408752, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.31883418560028076, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3643192648887634, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.41531872749328613, display_name='', category_name='mouthPressLeft')]"
24,4033.333333333333,"[Category(index=5, score=0.20751148462295532, display_name='', category_name='browOuterUpRight'), Category(index=19, score=0.2638189494609833, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.21209421753883362, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.4338138997554779, display_name='', category_name='mouthPressLeft')]"
25,3933.333333333333,"[Category(index=5, score=0.21504884958267212, display_name='', category_name='browOuterUpRight'), Category(index=19, score=0.29607537388801575, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.23419496417045593, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.2864050269126892, display_name='', category_name='mouthPressLeft')]"
26,3833.3333333333335,"[Category(index=18, score=0.2002071887254715, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.3381912112236023, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.29870983958244324, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.24570754170417786, display_name='', category_name='mouthPressLeft')]"
27,3766.6666666666665,"[Category(index=15, score=0.2238968312740326, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.35906335711479187, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.27122053503990173, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.3234842121601105, display_name='', category_name='mouthPressLeft')]"
28,3666.6666666666665,"[Category(index=18, score=0.21799108386039734, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.32232823967933655, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.29783985018730164, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.3062230050563812, display_name='', category_name='mouthPressLeft')]"
29,3566.6666666666665,"[Category(index=15, score=0.21964359283447266, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.22419515252113342, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.340159147977829, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3696923553943634, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.24817827343940735, display_name='', category_name='mouthPressLeft')]"
