ts,actions
78500.0,"{'browOuterUpRight': 0.3177652359008789, 'eyeLookUpRight': 0.21244622766971588, 'eyeSquintRight': 0.4050152897834778, 'mouthPressLeft': 0.3354814350605011}"
80800.0,"{'browInnerUp': 0.4123019874095917, 'browOuterUpLeft': 0.5851684808731079, 'browOuterUpRight': 0.5695988535881042, 'eyeLookInLeft': 0.2881523668766022, 'eyeLookOutRight': 0.2946106791496277, 'eyeLookUpLeft': 0.5050873756408691, 'eyeLookUpRight': 0.5288946628570557, 'eyeSquintRight': 0.25049158930778503, 'mouthShrugLower': 0.27821415662765503, 'mouthShrugUpper': 0.7571380138397217, 'mouthUpperUpLeft': 0.3413502871990204}"
83000.0,"{'browOuterUpLeft': 0.31035858392715454, 'browOuterUpRight': 0.22297152876853943, 'eyeBlinkRight': 0.20735575258731842, 'eyeLookDownLeft': 0.5745855569839478, 'eyeLookDownRight': 0.5439906120300293, 'eyeLookInLeft': 0.3103800117969513, 'eyeLookOutRight': 0.3066290318965912, 'eyeSquintLeft': 0.28431031107902527, 'mouthShrugLower': 0.5677624940872192, 'mouthSmileLeft': 0.4384955167770386, 'mouthSmileRight': 0.5448416471481323}"
85400.0,"{'browOuterUpLeft': 0.2243635505437851, 'browOuterUpRight': 0.21152159571647644, 'eyeBlinkLeft': 0.20475265383720398, 'eyeBlinkRight': 0.2358212172985077, 'eyeLookDownLeft': 0.5851408243179321, 'eyeLookDownRight': 0.5648066997528076, 'eyeLookInLeft': 0.5638439655303955, 'eyeLookOutRight': 0.5502445101737976, 'eyeSquintLeft': 0.4278271794319153, 'eyeSquintRight': 0.24129576981067657, 'mouthSmileLeft': 0.4284847378730774, 'mouthSmileRight': 0.3889854848384857}"
88533.33333333333,"{'browOuterUpRight': 0.4523235857486725, 'eyeLookInLeft': 0.21049566566944122, 'eyeLookOutRight': 0.26323822140693665, 'eyeLookUpLeft': 0.5648444294929504, 'eyeLookUpRight': 0.5579358339309692, 'eyeSquintLeft': 0.756354808807373, 'eyeSquintRight': 0.2745792865753174, 'mouthSmileLeft': 0.6509472131729126, 'mouthSmileRight': 0.5399482250213623}"
90733.33333333333,"{'browInnerUp': 0.2545781433582306, 'browOuterUpLeft': 0.22669635713100433, 'eyeBlinkRight': 0.31418347358703613, 'eyeLookDownLeft': 0.3884698450565338, 'eyeLookDownRight': 0.38180187344551086, 'eyeLookInLeft': 0.2907470166683197, 'eyeLookOutRight': 0.28102973103523254, 'eyeSquintLeft': 0.2657985985279083, 'eyeSquintRight': 0.3449649214744568, 'mouthShrugUpper': 0.3350006937980652}"
92966.66666666667,"{'browOuterUpLeft': 0.3926510214805603, 'eyeLookDownLeft': 0.4168020486831665, 'eyeLookDownRight': 0.4136611223220825, 'eyeLookInLeft': 0.5277347564697266, 'eyeLookOutRight': 0.5246890783309937, 'eyeSquintLeft': 0.42826366424560547, 'eyeSquintRight': 0.2836073040962219, 'mouthShrugLower': 0.5779861807823181}"
95100.0,"{'browOuterUpLeft': 0.2716563642024994, 'eyeLookInLeft': 0.39451736211776733, 'eyeLookOutRight': 0.3898932933807373, 'eyeSquintLeft': 0.2868647575378418}"
97500.0,"{'browOuterUpLeft': 0.2308531403541565, 'eyeLookDownLeft': 0.46115201711654663, 'eyeLookDownRight': 0.4568411111831665, 'eyeSquintLeft': 0.3236193060874939, 'mouthPressLeft': 0.2494688630104065, 'mouthShrugLower': 0.2567214369773865}"
99866.66666666666,"{'browOuterUpLeft': 0.3139418363571167, 'eyeLookDownLeft': 0.38252007961273193, 'eyeLookDownRight': 0.3947412967681885, 'eyeLookInLeft': 0.23650380969047546, 'eyeLookOutRight': 0.264262318611145, 'eyeSquintLeft': 0.35336947441101074, 'eyeSquintRight': 0.2254122495651245, 'mouthPressLeft': 0.6129389405250549, 'mouthShrugLower': 0.3480033278465271}"
101833.33333333333,"{'browOuterUpLeft': 0.39225101470947266, 'browOuterUpRight': 0.5316011309623718, 'eyeBlinkLeft': 0.5035606622695923, 'eyeBlinkRight': 0.36738985776901245, 'eyeLookDownLeft': 0.6730005145072937, 'eyeLookDownRight': 0.6995774507522583, 'eyeSquintLeft': 0.6155555248260498, 'eyeSquintRight': 0.5210187435150146, 'mouthPressLeft': 0.6255781650543213, 'mouthPressRight': 0.23541784286499023}"
104000.0,"{'browOuterUpRight': 0.2207806557416916, 'eyeLookUpLeft': 0.3735171854496002, 'eyeLookUpRight': 0.37748435139656067, 'eyeSquintLeft': 0.5516543388366699, 'eyeSquintRight': 0.35194510221481323, 'mouthPressLeft': 0.6728363037109375}"
106066.66666666666,"{'browOuterUpLeft': 0.33236926794052124, 'browOuterUpRight': 0.2621879577636719, 'eyeLookInLeft': 0.27687010169029236, 'eyeLookOutRight': 0.3095952570438385, 'eyeLookUpLeft': 0.37079134583473206, 'eyeLookUpRight': 0.3885044455528259, 'eyeSquintLeft': 0.5035279989242554, 'eyeSquintRight': 0.284035861492157, 'mouthPressLeft': 0.2884581983089447}"
107933.33333333334,"{'browOuterUpLeft': 0.3991909623146057, 'browOuterUpRight': 0.4987334609031677, 'eyeBlinkLeft': 0.4591320753097534, 'eyeBlinkRight': 0.4116092026233673, 'eyeLookDownLeft': 0.5740736722946167, 'eyeLookDownRight': 0.6040776968002319, 'eyeSquintLeft': 0.6300452351570129, 'eyeSquintRight': 0.570071816444397}"
110066.66666666666,"{'browOuterUpLeft': 0.33828628063201904, 'browOuterUpRight': 0.37188470363616943, 'eyeBlinkRight': 0.2664024829864502, 'eyeLookDownRight': 0.22548118233680725, 'eyeLookInRight': 0.21108736097812653, 'eyeLookOutLeft': 0.21659322082996368, 'eyeSquintLeft': 0.6189550161361694, 'eyeSquintRight': 0.5431625247001648}"
112433.33333333334,"{'browOuterUpLeft': 0.5076031684875488, 'browOuterUpRight': 0.5149918794631958, 'eyeBlinkLeft': 0.3718697428703308, 'eyeBlinkRight': 0.2846689522266388, 'eyeLookDownLeft': 0.34496626257896423, 'eyeLookDownRight': 0.33962398767471313, 'eyeSquintLeft': 0.7305033802986145, 'eyeSquintRight': 0.5380492210388184, 'mouthPressLeft': 0.3423294723033905}"
